NATIONAL LEAGUES,,,,,,,,,,
Season,Competition,,Club,,,,,,,
,Total :,,,566,440,155,65,3,5,45.356'
19/20,,Serie A,,22,21,3,2,-,-,1.945'
18/19,,Serie A,,31,21,8,3,-,-,2.689'
17/18,,LaLiga,,27,26,5,1,-,-,2.297'
16/17,,LaLiga,,29,25,6,4,-,-,2.544'
15/16,,LaLiga,,36,35,11,2,-,-,3.184'
14/15,,LaLiga,,35,48,16,4,-,1,3.099'
13/14,,LaLiga,,30,31,11,4,-,1,2.540'
13-Dec,,LaLiga,,34,34,11,9,-,-,2.716'
12-Nov,,LaLiga,,38,46,12,4,-,-,3.354'
11-Oct,,LaLiga,,34,40,13,2,-,-,2.913'
10-Sep,,LaLiga,,29,26,10,3,1,1,2.465'
9-Aug,,Premier League,,33,18,7,5,1,-,2.745'
8-Jul,,Premier League,,34,31,7,5,-,1,2.747'
7-Jun,,Premier League,,34,17,15,2,-,-,2.787'
6-May,,Premier League,,33,9,7,8,-,1,2.286'
5-Apr,,Premier League,,33,5,5,3,-,-,2.425'
4-Mar,,Premier League,,29,4,4,3,1,-,1.551'
3-Feb,,Liga NOS,,25,3,4,1,-,-,1.069'
